degree,age,income,edu
secondary,18,10000.00293,9
secondary,18,18900.00189,9
secondary,18,9599.999023,9
secondary,18,15000.00391,9
secondary,18,23999.99805,9
secondary,18,41999.98389,9
secondary,18,24999.99414,9
secondary,18,20000.00586,9
secondary,18,29999.99219,9
secondary,18,17999.99805,9
secondary,18,10000.00293,9
secondary,18,10000.00293,9
secondary,18,9555.629883,9
secondary,18,5400,9
secondary,18,14400.00391,9
secondary,18,19200,9
secondary,18,11999.99707,9
secondary,18,10200.00288,9
secondary,18,10699.99808,9
secondary,18,1000.000061,9
secondary,18,29999.99219,9
secondary,18,13999.99414,9
secondary,18,50000.00781,9
secondary,18,3599.999512,9
secondary,18,26099.99774,9
primary,18,10000.00293,6
primary,18,24149.99802,6
primary,18,24999.99811,6
primary,18,17999.99805,6
primary,18,12500.00293,6
primary,18,10000.00293,6
primary,18,15000.00391,6
primary,18,11845.27051,6
primary,18,11999.99707,6
primary,18,10000.00293,6
primary,18,11999.99707,6
noschool,18,20000.00391,0
noschool,18,35999.98438,0
bachelor,19,29999.99219,16
bachelor,19,77999.99219,16
bachelor,19,4500.000488,16
associate,19,15959.99509,14
associate,19,24399.99947,14
tech,19,4800.000977,14
tech,19,9000.000977,14
associate,19,12000.99707,14
tech,19,12999.99512,14
tech,19,10000.00293,14
tech,19,35999.98438,14
associate,19,23400.00488,14
tech,19,5500,14
associate,19,5999.999512,14
tech,19,9599.999023,14
associate,19,65000.01172,14
associate,19,67000.00684,14
tech,19,9699.998901,14
tech,19,48000.01172,14
tech,19,20000.00391,14
tech,19,18024.00195,14
associate,19,5999.999512,14
tech,19,31199.99231,14
tech,19,18600.00195,14
tech,19,17399.99417,14
tech,19,21699.99951,14
associate,19,16000.00397,14
associate,19,9400.000946,14
tech,19,29999.99219,14
tech,19,14800.00388,14
tech,19,1200.000122,14
tech,19,32599.99426,14
tech,19,2499.999512,14
tech,19,38999.99609,14
tech,19,22799.99231,14
tech,19,10000.00293,14
associate,19,11999.99707,14
associate,19,9599.999023,14
tech,19,10100.00292,14
tech,19,35999.98438,14
high,19,23999.99805,12
high,19,43200.01563,12
high,19,35999.98438,12
high,19,14500.00293,12
high,19,23000.00366,12
high,19,26299.99756,12
high,19,13199.99609,12
high,19,23999.99805,12
high,19,32799.99219,12
high,19,29857.44727,12
high,19,29999.99219,12
high,19,32283.80273,12
high,19,64999.99219,12
high,19,5500,12
high,19,10000.00293,12
high,19,29999.99219,12
high,19,4000.001953,12
high,19,14400.00391,12
high,19,15150.00388,12
high,19,29999.99365,12
high,19,16500.00366,12
high,19,29999.99219,12
high,19,4000.001953,12
high,19,53999.99316,12
high,19,1999.999878,12
high,19,1499.999756,12
high,19,13599.99902,12
high,19,39000.00195,12
high,19,19500.00439,12
high,19,35999.98438,12
high,19,2599.999817,12
secondary,19,10000.00293,9
secondary,19,4999.999512,9
secondary,19,19200,9
secondary,19,27499.98828,9
secondary,19,5999.999512,9
secondary,19,20000.00391,9
secondary,19,48000.01172,9
secondary,19,23999.99805,9
secondary,19,7000.000977,9
secondary,19,15000.00391,9
secondary,19,10000.00293,9
secondary,19,10000.00293,9
secondary,19,10000.00293,9
secondary,19,15000.00391,9
secondary,19,10000.00293,9
secondary,19,15000.00391,9
secondary,19,1601.700598,9
secondary,19,35999.98438,9
secondary,19,10000.00293,9
secondary,19,4999.999512,9
secondary,19,23999.99805,9
secondary,19,10500.00296,9
secondary,19,35499.99173,9
secondary,19,23999.99805,9
secondary,19,23999.99805,9
secondary,19,11824.998,9
secondary,19,35999.98438,9
secondary,19,17999.99805,9
secondary,19,17999.99805,9
secondary,19,24999.99414,9
secondary,19,28000,9
secondary,19,4199.999023,9
secondary,19,17999.99805,9
secondary,19,19200,9
secondary,19,26399.99805,9
secondary,19,9599.999023,9
secondary,19,21707.31641,9
secondary,19,28800.00586,9
secondary,19,17999.99805,9
secondary,19,24499.99808,9
secondary,19,12099.99706,9
secondary,19,19879.99842,9
secondary,19,42756.56641,9
secondary,19,4800.000977,9
secondary,19,20000.00342,9
secondary,19,11999.99707,9
secondary,19,16800,9
secondary,19,1699.999878,9
secondary,19,23999.99805,9
secondary,19,21599.99219,9
secondary,19,23999.99805,9
secondary,19,23999.99805,9
secondary,19,15000.00391,9
secondary,19,23999.99805,9
secondary,19,17784.35938,9
secondary,19,22000.00378,9
secondary,19,11999.99707,9
secondary,19,10799.99512,9
secondary,19,17499.99219,9
secondary,19,15000.00391,9
secondary,19,17999.99805,9
secondary,19,21599.99219,9
secondary,19,10000.00293,9
secondary,19,23999.99805,9
secondary,19,23999.99805,9
secondary,19,57599.99609,9
secondary,19,19200,9
secondary,19,15600.00098,9
secondary,19,23999.99805,9
secondary,19,11999.99707,9
secondary,19,23999.99805,9
secondary,19,11999.99707,9
secondary,19,23999.99805,9
secondary,19,9599.999023,9
secondary,19,11999.99707,9
secondary,19,17999.99805,9
secondary,19,42000,9
secondary,19,35999.98438,9
secondary,19,17999.99805,9
secondary,19,1200.000092,9
secondary,19,7619.50293,9
secondary,19,20999.99023,9
secondary,19,13519.15918,9
secondary,19,21599.99219,9
secondary,19,22099.99222,9
secondary,19,36399.98434,9
secondary,19,11999.99707,9
secondary,19,5500,9
secondary,19,11999.99707,9
secondary,19,10103.99512,9
secondary,19,23999.99805,9
secondary,19,14999.99609,9
secondary,19,17999.99805,9
secondary,19,23999.99805,9
secondary,19,4000.001953,9
secondary,19,23999.99805,9
secondary,19,4500.000488,9
secondary,19,4000.001953,9
secondary,19,11999.99707,9
secondary,19,20000.00391,9
secondary,19,36000.18562,9
secondary,19,1000.000061,9
secondary,19,13000.00296,9
secondary,19,11999.99707,9
secondary,19,16000.00098,9
secondary,19,23999.99805,9
secondary,19,5999.999512,9
secondary,19,16800,9
secondary,19,16800,9
secondary,19,20999.99023,9
secondary,19,13999.99414,9
secondary,19,20000.00391,9
secondary,19,17000.00586,9
primary,19,14400.00391,6
primary,19,23999.99805,6
primary,19,15000.00391,6
primary,19,9599.999023,6
primary,19,9196.307617,6
primary,19,23999.99805,6
primary,19,21899.99805,6
primary,19,10000.00293,6
primary,19,9000.000977,6
primary,19,10000.00293,6
primary,19,4999.999512,6
primary,19,4500.000488,6
primary,19,43000,6
noschool,19,35999.98438,0
bachelor,20,18000.00293,16
bachelor,20,32999.99121,16
bachelor,20,11999.99707,16
bachelor,20,17999.99805,16
bachelor,20,300.0000305,16
bachelor,20,6999.99939,16
bachelor,20,11999.99707,16
bachelor,20,44999.99609,16
tech,20,42000,14
tech,20,24999.99414,14
associate,20,30250.00687,14
tech,20,40299.98779,14
associate,20,25099.99124,14
tech,20,17999.99805,14
tech,20,4999.999512,14
tech,20,2399.999512,14
tech,20,17545.00394,14
tech,20,32400.00195,14
associate,20,23999.99805,14
associate,20,16260.67773,14
associate,20,19499.9978,14
tech,20,5999.999512,14
associate,20,28800.00586,14
associate,20,5999.999512,14
tech,20,33599.99219,14
tech,20,14199.9969,14
tech,20,29999.99219,14
tech,20,29999.99219,14
associate,20,19200,14
associate,20,1499.999756,14
tech,20,35999.98438,14
associate,20,35833.67969,14
tech,20,20000.00391,14
tech,20,24199.998,14
tech,20,24899.99817,14
tech,20,19354.83984,14
tech,20,42000,14
tech,20,21599.99219,14
tech,20,9699.998901,14
tech,20,28599.9903,14
tech,20,16025.24512,14
tech,20,35099.99756,14
tech,20,5999.999512,14
associate,20,24599.99799,14
tech,20,41499.99585,14
associate,20,9000.000977,14
tech,20,7200,14
tech,20,15000.00391,14
tech,20,20399.99414,14
tech,20,15387.04199,14
associate,20,29999.99219,14
tech,20,9000.000977,14
tech,20,9000.000977,14
tech,20,20220.81836,14
tech,20,30999.99225,14
tech,20,17999.99805,14
tech,20,17999.99805,14
tech,20,17999.99805,14
tech,20,2399.999512,14
tech,20,15000.00391,14
tech,20,2999.999023,14
associate,20,29999.99219,14
tech,20,103000.0146,14
associate,20,17831.79688,14
associate,20,17750.23242,14
tech,20,32499.9917,14
tech,20,19200,14
tech,20,20999.99023,14
tech,20,24999.99414,14
tech,20,27599.99023,14
associate,20,2499.999512,14
high,20,32399.99414,12
high,20,1999.999878,12
high,20,5400,12
high,20,1999.999878,12
high,20,23000.00293,12
high,20,2250.000488,12
high,20,11999.99707,12
high,20,24999.99414,12
high,20,24999.99414,12
high,20,14400.00391,12
high,20,20000.00391,12
high,20,23999.99805,12
high,20,35999.98438,12
high,20,49000.01178,12
high,20,32700.00366,12
high,20,24999.99414,12
high,20,15050.00378,12
high,20,25404.18945,12
high,20,14400.00391,12
high,20,23999.99805,12
high,20,53000.01123,12
high,20,69499.97754,12
high,20,55000.00781,12
high,20,10000.00293,12
high,20,11999.99707,12
high,20,30299.99759,12
high,20,10000.00293,12
high,20,14138.29492,12
high,20,12049.99707,12
high,20,14700.00394,12
high,20,14400.00391,12
high,20,20000.00391,12
high,20,25999.9942,12
high,20,29999.99219,12
high,20,14400.00391,12
high,20,5999.999512,12
high,20,23551.80859,12
high,20,26999.99976,12
high,20,7200,12
high,20,39999.99512,12
high,20,10000.00293,12
high,20,10000.00293,12
high,20,35999.98438,12
high,20,23999.99756,12
high,20,12999.99512,12
high,20,26399.99805,12
secondary,20,23999.99805,9
secondary,20,17999.99805,9
secondary,20,4999.999512,9
secondary,20,39699.99231,9
secondary,20,17999.99805,9
secondary,20,20499.99756,9
secondary,20,23999.99805,9
secondary,20,23999.99805,9
secondary,20,4999.999512,9
secondary,20,10000.00293,9
secondary,20,18239.99806,9
secondary,20,10000.00293,9
secondary,20,20000.00391,9
secondary,20,20000.00391,9
secondary,20,16800,9
secondary,20,15300.00098,9
secondary,20,19200,9
secondary,20,35000,9
secondary,20,2999.999023,9
secondary,20,17999.99805,9
secondary,20,10000.00293,9
secondary,20,24.99999809,9
secondary,20,6500.00293,9
secondary,20,4999.999512,9
secondary,20,5500,9
secondary,20,20000.00391,9
secondary,20,5999.999512,9
secondary,20,16800,9
secondary,20,4999.999512,9
secondary,20,8000.000488,9
secondary,20,30282.5625,9
secondary,20,30999.99225,9
secondary,20,23999.99805,9
secondary,20,35999.98438,9
secondary,20,33224.08203,9
secondary,20,32499.98633,9
secondary,20,29999.99219,9
secondary,20,37199.9845,9
secondary,20,5500,9
secondary,20,20000.00391,9
secondary,20,33599.99219,9
secondary,20,11999.99707,9
secondary,20,19200,9
secondary,20,15000.00391,9
secondary,20,11999.99707,9
secondary,20,23999.99805,9
secondary,20,19999.99792,9
secondary,20,4000.001953,9
secondary,20,39999.99609,9
secondary,20,24499.99808,9
secondary,20,23695.50586,9
secondary,20,1999.999878,9
secondary,20,12101.29883,9
secondary,20,20017.4596,9
secondary,20,9699.998047,9
secondary,20,11999.99707,9
secondary,20,30199.99214,9
secondary,20,11999.99707,9
secondary,20,20000.00391,9
secondary,20,12999.99713,9
secondary,20,29999.99219,9
secondary,20,20000.00391,9
secondary,20,1999.999878,9
secondary,20,9599.999023,9
secondary,20,32999.99609,9
secondary,20,42000,9
secondary,20,16317.32031,9
secondary,20,18899.99817,9
secondary,20,20000.00391,9
secondary,20,23999.99805,9
secondary,20,35999.98438,9
secondary,20,14400.00391,9
secondary,20,16199.99609,9
secondary,20,35999.98438,9
secondary,20,23999.99805,9
secondary,20,4999.999512,9
secondary,20,11999.99707,9
secondary,20,20000.00391,9
secondary,20,15000.00391,9
secondary,20,35999.98438,9
secondary,20,23999.99805,9
secondary,20,20000.00391,9
secondary,20,54000.01172,9
secondary,20,29999.99219,9
secondary,20,11999.99707,9
secondary,20,15000.00391,9
secondary,20,36399.99219,9
secondary,20,20000.00391,9
secondary,20,23999.99805,9
secondary,20,2999.999023,9
secondary,20,23999.99805,9
secondary,20,22799.99023,9
secondary,20,23999.99805,9
secondary,20,23999.99805,9
secondary,20,17999.99805,9
secondary,20,17999.99805,9
secondary,20,12599.99701,9
secondary,20,11999.99707,9
secondary,20,32500.00562,9
secondary,20,23999.99805,9
secondary,20,23999.99805,9
secondary,20,23999.99805,9
secondary,20,23999.99805,9
secondary,20,15000.00391,9
secondary,20,14400.00391,9
secondary,20,60099.98046,9
secondary,20,35999.98438,9
secondary,20,29999.99219,9
secondary,20,15599.99854,9
secondary,20,22936.86914,9
secondary,20,25472.04688,9
secondary,20,20000.00391,9
secondary,20,25999.99817,9
secondary,20,1400.000244,9
secondary,20,17400.00391,9
secondary,20,29999.99219,9
secondary,20,10000.00293,9
secondary,20,23999.99805,9
secondary,20,17999.99805,9
secondary,20,40799.99609,9
secondary,20,35999.98438,9
secondary,20,5999.999512,9
secondary,20,11999.99707,9
secondary,20,17999.99805,9
secondary,20,4999.999512,9
secondary,20,35999.98438,9
secondary,20,11999.99707,9
secondary,20,18999.99811,9
secondary,20,22999.99756,9
secondary,20,10000.00293,9
secondary,20,24999.99414,9
secondary,20,12999.99713,9
secondary,20,32399.99414,9
secondary,20,8500.001953,9
secondary,20,17000.00378,9
secondary,20,12199.99702,9
secondary,20,28800.00586,9
secondary,20,21599.99219,9
secondary,20,15000.00391,9
secondary,20,11999.99707,9
secondary,20,21998.99805,9
secondary,20,30299.99222,9
secondary,20,20000.00391,9
primary,20,20000.00391,6
primary,20,20000.00391,6
primary,20,12900.00195,6
primary,20,4999.999512,6
primary,20,10799.99512,6
primary,20,10472.53711,6
primary,20,23999.99805,6
primary,20,11999.99707,6
primary,20,10799.99512,6
primary,20,29999.99219,6
primary,20,4500.000488,6
primary,20,5999.999512,6
primary,20,15000.00391,6
primary,20,10000.00293,6
noschool,20,17999.99805,0
noschool,20,26000.01172,0
master,21,128000.02,18
bachelor,21,20399.99414,16
bachelor,21,34799.99609,16
bachelor,21,37247.13672,16
bachelor,21,29320.00391,16
bachelor,21,15500.00293,16
bachelor,21,66.93600917,16
bachelor,21,7999.998535,16
bachelor,21,40249.98352,16
bachelor,21,26999.99414,16
bachelor,21,13200.20634,16
bachelor,21,14480.00391,16
bachelor,21,40950.42969,16
bachelor,21,22187.15234,16
bachelor,21,26850.58398,16
bachelor,21,12000.00281,16
bachelor,21,50600.00775,16
bachelor,21,14400.00391,16
bachelor,21,21305.90234,16
tech,21,55200.00781,14
associate,21,4800.000977,14
associate,21,23999.99805,14
tech,21,35999.98438,14
tech,21,17999.99805,14
tech,21,20000.00391,14
tech,21,17999.99805,14
tech,21,11999.99707,14
tech,21,23999.99805,14
associate,21,20000.00391,14
associate,21,23999.99805,14
tech,21,23999.99805,14
tech,21,21000.00397,14
associate,21,21000.00397,14
associate,21,19439.99414,14
associate,21,40999.98389,14
associate,21,5999.999512,14
associate,21,45199.99556,14
tech,21,23999.99805,14
tech,21,37200.00024,14
tech,21,65899.99707,14
associate,21,8500.000519,14
associate,21,31999.99207,14
associate,21,57000.00391,14
associate,21,32200.00397,14
tech,21,29999.99219,14
associate,21,2999.999023,14
tech,21,13999.99414,14
associate,21,63999.97754,14
associate,21,23999.99756,14
tech,21,35999.98438,14
associate,21,23999.99805,14
associate,21,26399.99756,14
tech,21,29999.99219,14
tech,21,22200,14
associate,21,24799.99817,14
tech,21,22799.99023,14
associate,21,28000,14
associate,21,9599.999023,14
associate,21,1499.999756,14
tech,21,20000.00391,14
associate,21,60600.01025,14
tech,21,15550.00385,14
associate,21,7200,14
tech,21,1999.999878,14
associate,21,34399.99402,14
tech,21,16862.63672,14
tech,21,17999.99805,14
associate,21,35999.98438,14
tech,21,72821.11719,14
tech,21,21599.99219,14
tech,21,20000.00391,14
tech,21,35999.98438,14
tech,21,23999.99805,14
tech,21,11658.06348,14
tech,21,8499.99942,14
associate,21,54550.01175,14
tech,21,10000.00293,14
tech,21,22000,14
tech,21,29999.99512,14
tech,21,29999.99219,14
tech,21,15600.00098,14
tech,21,30999.99225,14
tech,21,14400.00391,14
associate,21,21599.99219,14
associate,21,11999.99707,14
associate,21,47999.99023,14
associate,21,20528.08398,14
tech,21,18799.99817,14
associate,21,30500.00195,14
associate,21,16854.77539,14
tech,21,12599.99701,14
tech,21,29999.99219,14
tech,21,39999.99609,14
tech,21,25199.99609,14
tech,21,24999.99414,14
associate,21,17999.99805,14
tech,21,12999.99713,14
tech,21,23999.99805,14
tech,21,13013.20605,14
associate,21,800.0001221,14
tech,21,32399.9917,14
associate,21,12000.00098,14
associate,21,27499.99878,14
associate,21,23999.99805,14
associate,21,10000.00293,14
associate,21,5500,14
associate,21,189000.0498,14
high,21,85999.99988,12
high,21,10000.00293,12
high,21,10000.00293,12
high,21,29999.99219,12
high,21,49999.99902,12
high,21,15000.00391,12
high,21,32249.98792,12
high,21,29999.99219,12
high,21,7000.000977,12
high,21,38230.87891,12
high,21,29999.99219,12
high,21,50000.01514,12
high,21,20200.00386,12
high,21,20000.00391,12
high,21,10000.00293,12
high,21,24099.99804,12
high,21,15600.00098,12
high,21,35999.98438,12
high,21,15600.00098,12
high,21,13746.41992,12
high,21,20800.00397,12
high,21,23999.99805,12
high,21,26399.99805,12
high,21,17999.99805,12
high,21,10000.00293,12
high,21,820,12
high,21,7200,12
high,21,23999.99805,12
high,21,24999.99414,12
high,21,54000.01172,12
high,21,6599.998535,12
high,21,9599.999023,12
high,21,35999.98438,12
high,21,11999.99707,12
high,21,26400.00098,12
high,21,23999.99805,12
high,21,39999.99609,12
high,21,11999.99707,12
high,21,21599.99219,12
high,21,10799.99512,12
high,21,11999.99707,12
high,21,30999.99225,12
high,21,50319.98743,12
high,21,24999.99414,12
high,21,29999.99219,12
high,21,31601.25781,12
high,21,1999.999878,12
high,21,40749.99603,12
high,21,8000.000488,12
secondary,21,50000.0116,9
secondary,21,70000.03125,9
secondary,21,23999.99805,9
secondary,21,21700.00052,9
secondary,21,20000.00391,9
secondary,21,1999.999878,9
secondary,21,15000.00391,9
secondary,21,26399.99805,9
secondary,21,7000.000977,9
secondary,21,23999.99805,9
secondary,21,48000.01172,9
secondary,21,35999.98438,9
secondary,21,10000.00293,9
secondary,21,24999.99414,9
secondary,21,23999.99805,9
secondary,21,29999.99219,9
secondary,21,11999.99707,9
secondary,21,29999.99219,9
secondary,21,29189.99005,9
secondary,21,36999.99158,9
secondary,21,18559.99811,9
secondary,21,4500.000488,9
secondary,21,24499.99803,9
secondary,21,35999.98438,9
secondary,21,7200,9
secondary,21,29499.99805,9
secondary,21,11999.99707,9
secondary,21,4000.001953,9
secondary,21,56100.00787,9
secondary,21,42552.88281,9
secondary,21,17999.99805,9
secondary,21,20000.00391,9
secondary,21,23999.99805,9
secondary,21,23999.99805,9
secondary,21,20000.00391,9
secondary,21,23699.99036,9
secondary,21,11999.99707,9
secondary,21,17999.99805,9
secondary,21,21599.99219,9
secondary,21,35999.98438,9
secondary,21,24719.99823,9
secondary,21,23999.99805,9
secondary,21,14400.00391,9
secondary,21,7200,9
secondary,21,20000.00391,9
secondary,21,11999.99707,9
secondary,21,15000.00391,9
secondary,21,17000.00586,9
secondary,21,15600.00098,9
secondary,21,17999.99805,9
secondary,21,15000.00391,9
secondary,21,8000.000488,9
secondary,21,20999.99023,9
secondary,21,15300.00394,9
secondary,21,11999.99707,9
secondary,21,20000.00391,9
secondary,21,23999.99805,9
secondary,21,10000.00293,9
secondary,21,27599.99817,9
secondary,21,54600.01174,9
secondary,21,25999.9942,9
secondary,21,24999.99414,9
secondary,21,23999.99805,9
secondary,21,8000.000488,9
secondary,21,26399.99805,9
secondary,21,35999.98438,9
secondary,21,20000.00391,9
secondary,21,7999.99939,9
secondary,21,20000.00391,9
secondary,21,55000.00781,9
secondary,21,48000.01172,9
secondary,21,10000.00293,9
secondary,21,14500.00293,9
secondary,21,4000.001953,9
secondary,21,11999.99707,9
secondary,21,58999.98193,9
secondary,21,11999.99707,9
secondary,21,42000,9
secondary,21,15000.00391,9
secondary,21,35999.9917,9
secondary,21,29999.99219,9
secondary,21,30299.99222,9
secondary,21,23999.99805,9
secondary,21,35999.98438,9
secondary,21,21599.99219,9
secondary,21,17999.99805,9
secondary,21,23999.99805,9
secondary,21,15000.00391,9
secondary,21,22199.99036,9
secondary,21,1999.999878,9
secondary,21,20999.99023,9
secondary,21,11999.99707,9
secondary,21,11999.99707,9
secondary,21,4999.999512,9
secondary,21,23999.99805,9
secondary,21,11999.99707,9
secondary,21,12999.99512,9
secondary,21,15600.00098,9
secondary,21,10000.00293,9
secondary,21,2999.999023,9
secondary,21,15600.00098,9
secondary,21,19200,9
secondary,21,14400.00391,9
secondary,21,15000.00391,9
secondary,21,17999.99805,9
secondary,21,16800.0011,9
secondary,21,17999.99805,9
secondary,21,15999.99402,9
secondary,21,1800.000366,9
secondary,21,18099.99804,9
secondary,21,29300.00589,9
secondary,21,28099.99026,9
secondary,21,23999.99805,9
secondary,21,17999.99805,9
secondary,21,10000.00293,9
secondary,21,20000.00391,9
secondary,21,35000,9
secondary,21,10000.00293,9
secondary,21,17999.99805,9
secondary,21,27759.99365,9
secondary,21,29999.99219,9
secondary,21,11999.99707,9
secondary,21,5999.999512,9
secondary,21,29999.99219,9
secondary,21,13478.7334,9
secondary,21,17499.99219,9
secondary,21,29999.99219,9
secondary,21,7000.000977,9
secondary,21,23999.99805,9
secondary,21,22000,9
secondary,21,5999.999512,9
secondary,21,12999.99713,9
secondary,21,11999.99707,9
secondary,21,15600.00098,9
secondary,21,12099.99512,9
secondary,21,10799.99512,9
secondary,21,11999.99707,9
secondary,21,5500,9
secondary,21,11999.99707,9
secondary,21,20035.58723,9
secondary,21,23999.99805,9
secondary,21,17999.99805,9
secondary,21,23999.99805,9
secondary,21,20000.00391,9
secondary,21,15000.00391,9
secondary,21,40999.99615,9
secondary,21,9000.000977,9
secondary,21,42000,9
secondary,21,20000.00391,9
secondary,21,20000.00391,9
secondary,21,20000.00391,9
secondary,21,1499.999756,9
secondary,21,42000,9
primary,21,2999.999023,6
primary,21,7200,6
primary,21,10000.00293,6
primary,21,35999.98438,6
primary,21,20000.00391,6
primary,21,19325.00317,6
primary,21,10000.00293,6
primary,21,99.99999237,6
primary,21,23999.99805,6
primary,21,20000.00391,6
primary,21,17999.99805,6
primary,21,20000.00391,6
primary,21,11999.99707,6
primary,21,15000.00391,6
primary,21,11999.99707,6
primary,21,14400.00391,6
primary,21,7200,6
primary,21,14400.00391,6
primary,21,2099.99987,6
primary,21,15000.00391,6
primary,21,1200.000122,6
noschool,21,3,0
noschool,21,14400.00391,0
noschool,21,4999.999512,0
noschool,21,10000.00293,0
bachelor,22,20000.00391,16
bachelor,22,37627.38281,16
bachelor,22,44164.14063,16
bachelor,22,36613.39844,16
bachelor,22,47999.99609,16
bachelor,22,21599.99219,16
bachelor,22,24999.99414,16
bachelor,22,44.21601868,16
bachelor,22,28399.99353,16
bachelor,22,179999.9688,16
bachelor,22,84000,16
bachelor,22,49186.71094,16
bachelor,22,49004.15234,16
bachelor,22,23999.99805,16
bachelor,22,20000.00391,16
bachelor,22,40850.00983,16
bachelor,22,22587.62695,16
bachelor,22,31682.16211,16
bachelor,22,39999.99121,16
bachelor,22,70000.03125,16
bachelor,22,4500.000488,16
bachelor,22,19700.00003,16
bachelor,22,40519.59766,16
bachelor,22,15000.00391,16
bachelor,22,25212.40039,16
bachelor,22,8000.000488,16
bachelor,22,48000.01172,16
bachelor,22,128000.0293,16
bachelor,22,51870.28516,16
bachelor,22,29999.99219,16
bachelor,22,55999.98828,16
bachelor,22,80000,16
bachelor,22,29223.69141,16
bachelor,22,23499.99759,16
tech,22,28804.29247,14
tech,22,35999.98438,14
tech,22,25199.99609,14
associate,22,19067.66211,14
associate,22,4999.999512,14
tech,22,14999.99609,14
associate,22,17999.99805,14
associate,22,17999.99805,14
associate,22,61800.01172,14
associate,22,38399.98389,14
associate,22,28755.13281,14
tech,22,3199.999756,14
associate,22,2.717188358,14
tech,22,39999.99609,14
associate,22,23999.99805,14
tech,22,1999.999878,14
tech,22,10000.00293,14
tech,22,23999.99805,14
associate,22,5999.999512,14
associate,22,35999.98438,14
associate,22,37999.99072,14
associate,22,20000.00391,14
tech,22,4800.000977,14
associate,22,23999.99805,14
associate,22,29999.99219,14
associate,22,3499.999512,14
associate,22,60000,14
tech,22,20399.99414,14
associate,22,17799.99939,14
tech,22,17999.99805,14
associate,22,96999.98035,14
associate,22,35500.00394,14
associate,22,24999.99414,14
associate,22,20000.00391,14
tech,22,42599.99591,14
associate,22,35010.91852,14
associate,22,32999.99213,14
associate,22,136000,14
associate,22,31199.98975,14
tech,22,30395.11523,14
tech,22,23999.99805,14
associate,22,12999.99512,14
associate,22,25599.99414,14
associate,22,26499.99756,14
tech,22,15000.00391,14
associate,22,26399.99805,14
associate,22,5999.999512,14
associate,22,9394.376953,14
associate,22,60000.00732,14
associate,22,39999.98633,14
tech,22,35999.98438,14
associate,22,3299.999054,14
tech,22,17999.99805,14
tech,22,35000,14
tech,22,21500.00366,14
tech,22,21599.99219,14
associate,22,32999.99121,14
associate,22,7721.355469,14
associate,22,26000.01172,14
tech,22,27000.00781,14
tech,22,3450.000732,14
tech,22,26499.9939,14
associate,22,27000.00781,14
associate,22,20000.00391,14
tech,22,20000.00391,14
tech,22,39999.98633,14
